Horodateur;Prolific ID;What is your current job title? (Developer, Researcher, ... students may indicate degree: PhD, Master);Which LLMs do you mostly use for code generation? Select as many as you use. You can enter one manually if it's not on the list.;Aside from Python, which programming languages did you generate code for using LLMs?;First type of bugs;Second type of bugs;Third type of bugs;Fourth type of bugs;Fifth type of bugs;First type of bugs matching category;Comment;Second type of bugs matching category;Comment;Third type of bugs matching category;Comment;Fourth type of bugs matching category;Comment;Fifth type of bugs matching category;Comment
2024/11/11 11:38:35 AM UTC−5;669d35c3e44e342da0923849;psychologist;"Codex (Copilot);CodeGen";"C;C++;Java;JavaScript";Syntax Errors such as Invalid indentation,missing or mismatched brackets;Semantic Errors such as logical errors and type mismatches.;Runtime Error such as division by zero and Infinite loops;Security vulnerabilities such as buffer overflow and cross-site scripting;Performance issues such as memory leaks and recursive calls;Misinterpretation / Wrong input;Same as us. Type mismatch in our case would be a wrong input;Wrong input / Not present;We did not create a specific category for such issues, since we encountered few instances. Infinite loop, was mentioned before;Not present;Security issues are not considered in CoderEval, so it is not something we observed;Not present;We did not check for memery leak or optimisation (mentioned by another person) as it is not the aim of CoderEval;;
2024/11/11 11:39:31 AM UTC−5;665a0090ec13ca13b8185a10;Software Engineer;"Codex (Copilot);ChatGPT";"C++;Java;JavaScript;Go";First bug was getting solutions that werent compatible with the VERSION of the library/package I was using. If I didnt specify the version or even when I did, I would get responses that would include function calls that were deprecated or not even in use at all anymore.;When the solution uses aws apis for example, it will always miss out on the parts where you need to initialize your aws connection and configurations. By using their code, it will error out immediatly due to invalid credentials and service workers being configured prior to using the generated code;;;;Syntax Error;same as us;Missing Corner Cases;missing a specific part of the code, maybe because it is expected as it is credentials in the case of the practionner;;;;;;
2024/11/12 12:47:54 PM UTC−5;66d50d300762b209335c49aa;Database Developer;ChatGPT;SQL, JQL;Syntax Errors. JQL doesn’t run Q: give me a JQL query that gives me name, status and number of jira’s by status grouped by assignee;"If-Then-Else logic: The code given didn’t handle nested if statements correctly when inside a loop. Q; I need to print the requested-by field only once: for I in range(max_length). Approver = approved_groups[i] and also print each Approver name in columnar format";;;;Syntax Error;Jira querry issue. Not something we had but syntax issues are a common pattern;Misinterpretation / Missing Corner Cases;If it's an issue with the LLM messing up the if/else, it is one those two categories;;;;;;
2024/11/13 10:39:49 AM UTC−5;66cdd84edb93e30caa9931ea;Data analyst;"ChatGPT;Llama;CodeGen";"C++;Java;JavaScript";"Off-by-one error
These bugs occur when a loop or array indexing is incorrect by one iteration or position. They're particularly common in loops that process arrays or lists. For example, a developer might write a loop that runs from 0 to array .length, causing it to access an index that doesn't exist. This can lead to unexpected behavior, array index out of bounds exceptions, or subtle logical errors";"Null pointer exceptions
These occur when a program attempts to use a reference variable that points to a null object. They're common in object-oriented programming languages like Java or C#. Null pointer exceptions often arise when developers forget to initialize variables, fail to handle null cases in methods, or make incorrect assumptions about the state of objects";;;;Wrong Input Type;We did not make a distinction for those bug patterns, but they are included in wrong input type, that is we consider the index is an incorrect input;Not present;Not something that can arise in Python, but indeed more frequent in C/C#. Maybe could be a Wrong Attribute?;;;;;;
2024/11/13 10:46:19 AM UTC−5;5cb60da9b79eec00134043bc;Data Scientist;ChatGPT;"C++;Java;JavaScript";Code that does not perform the functionality I requested.;Code that is too simple and doesn't address what I asked for.;Code that won't compile.;;;Misinterpretation;same as us;Misinterpretation / Prompt-biased cod;"Could be also simply Misinterpretation, but if it is ""too simple"" it could also mean a lack of generalization, which can occur in Prompt-biased code pattern";Too vague;;;;;
2024/11/13 10:48:03 AM UTC−5;65b66154e24d1e991c74502c;Application administrator;"Codex (Copilot);ChatGPT";"Java;JavaScript";Syntax, where some part of the code does not work with/for the specified language;Completeness, where the full request was not followed;Security, it is not considered in most of the generated code;;;Synthax Error;same as us;Misinterpretation / Missing Corner Cases;;Not present;Security issues are not considered in CoderEval, so it is not something we observed;;;;
2024/11/13 10:54:16 AM UTC−5;6678cae10372297b01749197;IT Systems Administrator and Cyber Security;ChatGPT;"C;C++;JavaScript";Syntax error with a variety of codes and scripts, not common, but happens.;Incomplete code, the LLMs will generate a partial code that does some of what is asked, but since the main goal is not targeted, the method it provides may be unusable to get to the real main goal.;Doesn't function, fake code, etc. Rare, but happens too.;;;Synthax Error;same as us;Incomplete Generation;same as us;A lot of patterns;"Doesn't function can relate to Misinterpretation (i.e. run but do not do what it is supposed to), but it could also be a non compile (and so can be a lot of our bug patterns). ""fake code"" can points towards Hallucinated Object";;;;
2024/11/14 10:53:24 AM UTC−5;67315f2ba49e302d2346223d;Retired;ChatGPT;"JavaScript;Go";Compile errors;Invalid use of code logic, such as invalid hook call warnings with React;Code logic results in different outcome than what was requested;;;Too vague;Can be a lot of bug patterns (from Syntax Error to Hallucinated Object);Hallucinated Object / Wrong attribute;We did not study React, but having invalid use of some API is something we had in Python too;Misinterpretation / Missing Corner Cases;same as us;;;;
2024/11/14 11:05:15 AM UTC−5;66441c9e616f79e9d27738d3;Software Engineer;ChatGPT;"C;JavaScript;Bash";Code that doesn't compile due to wrong language, like C++ code when I asked for C.;Hallucinations of libraries that don't actually exist.;Use of operators that exist in some languages but not the target one e.g. a ternary operator borrowed from another language.;;;Hallucinated Object;same as us;Not present;Not something we observed, but might be due because Python is used a lot in LLMs. Would be Hallucinated Object;;;;;;
2024/11/14 11:15:16 AM UTC−5;60477705b440ae26c4aaf5bb;Principal Software Engineer;"Codex (Copilot);Llama";"C;C++;Java;JavaScript;C#;Go;Elixir, Clojure, Rust";Function Hallucinations - Functions called or created that don't exist and aren't just stubs. For example, made-up standard library functions.;Concurrency - Frequent generation of common concurrency traps such as deadlocks, lock contention, multi-processor unawareness, unbalanced resource allocation for hardware, race conditions;Recursion/Stack - Unaware of stack and recursive limitations as well as optimizations (ex: tail-recursion in a language). Less commonly, infinite recursion.;;;Hallucinated Object / Wrong attribute;same as us;Not present;No concurrency task in CoderEval;Not present;we had a few instance of infinite loop but not enough to warrant a category. Optimization (mentioned before) was not a problem in CoderEval data;;;;
2024/11/14 11:30:15 AM UTC−5;66d473025c899e52888c32b2;Health professional;"Codex (Copilot);ChatGPT;Llama";JavaScript;Syntax errors: These include code that fails to run due to errors in its syntax.;Off-by-one errors occur when there are errors in the loop causing it to iterate one time too few or many.;;;;Syntax Error;same as us;Wrong input;no particular category for that, but it would be a wrong input;;;;;;
2024/11/14 12:49:17 PM UTC−5;667ef8dc8b6ac5f67f7427f5;Manager;"ChatGPT;Llama";JavaScript;Syntax: I've encountered cases where the code wouldn't compile because of simple syntax mistakes, like missing colons or unmatched parentheses, which the model sometimes overlooks.;Logical errors: The model generates code that technically runs but doesn't produce the expected results due to flawed logic, like incorrect loop ranges or conditions that miss edge cases.;;;;Syntax Error;same as us;Misinerpretation / Missing Corner Cases;same as us;;;;;;
